Cancer_Gene,24D214-5G_403_S61_R1_001,24D214-5G_403_S61_R2_001
BRAF,59.26790024135157,58.5423382341379
BRCA1,26.693483507642803,27.33705479990565
KRAS,6.3073209975864835,6.321251670728831
BRCA2,6.162510056315366,6.219042377545405
TP53,1.5446500402252614,1.5724506643604057
PIK3CA,0.008045052292839904,0.0
PTEN,0.008045052292839904,0.0
APC,0.008045052292839904,0.007862253321802029
